technical_skill,communication,preferred_domain,education,career
physics,excellent,manufacturing,mtech,Mechanical Engineer
deep learning,excellent,technology,mtech,AI/ML Engineer
security,good,technology,btech,DevOps Engineer
lab,good,research,bsc,Chemist
hardware,good,infrastructure,phd,Network Engineer
data,good,technology,msc,Machine Learning Engineer
physics,good,manufacturing,mtech,Mechanical Engineer
python,good,technology,mca,Data Engineer
sql,good,business,btech,Data Analyst
management,excellent,business,mba,Marketing Manager
math,excellent,finance,bcom,Financial Analyst
investigation,excellent,news,ma,Journalist
node,good,technology,bsc,Backend Engineer
research,good,research,phd,Biologist
writing,excellent,news,diploma,Journalist
web,good,technology,mtech,Software Developer
networking,good,infrastructure,btech,Network Engineer
css,good,creative,bsc,UI/UX Designer
java,good,technology,mtech,Backend Engineer
psychology,excellent,business,mba,HR Manager
lab,good,science,msc,Chemist
database,excellent,business,mca,Data Engineer
javascript,good,technology,mca,Software Developer
security,good,technology,bsc,Cybersecurity Analyst
math,good,analytics,btech,Machine Learning Engineer
physics,average,infrastructure,diploma,Civil Engineer
physics,good,technology,mtech,Mechanical Engineer
chemistry,good,science,msc,Chemist
web,good,technology,mtech,Software Developer
database,good,technology,btech,Data Engineer
illustrator,average,media,bdes,Graphic Designer
database,good,technology,btech,Full Stack Developer
deep learning,good,analytics,mtech,AI/ML Engineer
management,excellent,hr,mba,HR Manager
lab,average,science,msc,Chemist
editing,good,media,ba,Content Writer
data,good,research,mtech,Data Scientist
python,good,creative,bfa,UI/UX Designer
javascript,good,technology,btech,Software Developer
math,good,business,btech,Data Analyst
design,good,technology,bdes,UI/UX Designer
editing,excellent,media,bba,Content Writer
mechanics,average,engineering,btech,Mechanical Engineer
management,excellent,business,bba,HR Manager
seo,good,business,bba,Marketing Manager
security,excellent,technology,bsc,Cybersecurity Analyst
math,good,analytics,bsc,Data Analyst
accounting,good,business,bba,Financial Analyst
seo,good,marketing,mba,Marketing Manager
medicine,good,science,mbbs,Doctor
java,average,technology,bsc,Backend Engineer
biology,good,science,md,Doctor
security,average,technology,bsc,Network Engineer
security,good,technology,mca,DevOps Engineer
writing,excellent,marketing,bba,Marketing Manager
javascript,average,technology,bsc,Full Stack Developer
excel,good,business,bcom,Financial Analyst
biology,excellent,healthcare,md,Doctor
illustrator,good,analytics,bdes,Graphic Designer
security,good,infrastructure,mca,DevOps Engineer
construction,average,infrastructure,btech,Civil Engineer
css,excellent,creative,bdes,UI/UX Designer
html,good,creative,bsc,UI/UX Designer
linux,good,technology,btech,DevOps Engineer
python,excellent,research,phd,Data Scientist
cad,average,engineering,mtech,Mechanical Engineer
javascript,good,technology,bca,Software Developer
c++,good,technology,mca,Software Developer
math,excellent,business,bba,Financial Analyst
mechanics,average,manufacturing,diploma,Mechanical Engineer
design,good,technology,bdes,UI/UX Designer
marketing,excellent,marketing,bba,Marketing Manager
python,excellent,technology,bsc,Cybersecurity Analyst
networking,average,infrastructure,bsc,Network Engineer
python,average,technology,bsc,Full Stack Developer
biology,good,research,phd,Biologist
math,excellent,finance,bcom,Financial Analyst
design,excellent,creative,ba,UI/UX Designer
security,excellent,technology,bsc,Cybersecurity Analyst
data,good,technology,mca,Data Engineer
deep learning,excellent,technology,mtech,AI/ML Engineer
design,excellent,creative,bdes,UI/UX Designer
sql,good,healthcare,btech,Data Engineer
research,average,research,bsc,Chemist
illustrator,average,media,bdes,Graphic Designer
security,good,business,btech,DevOps Engineer
interviewing,excellent,news,ma,Journalist
math,excellent,finance,bba,Financial Analyst
sql,good,business,bba,Business Analyst
data,excellent,business,bba,Business Analyst
marketing,good,marketing,bba,Marketing Manager
illustrator,average,media,bdes,Graphic Designer
medicine,average,science,md,Doctor
finance,excellent,finance,high_school,Financial Analyst
management,excellent,business,bba,HR Manager
cad,average,infrastructure,diploma,Civil Engineer
python,excellent,technology,phd,Data Scientist
psychology,excellent,hr,bba,HR Manager
data,good,business,btech,Data Analyst
art,average,media,bfa,Graphic Designer
medicine,excellent,science,mbbs,Doctor
javascript,average,technology,mtech,Software Developer
math,good,business,bsc,Data Analyst
marketing,excellent,marketing,mba,Marketing Manager
lab,good,science,bsc,Biologist
r,good,research,bsc,Data Scientist
math,excellent,business,bcom,Financial Analyst
management,good,marketing,bba,Marketing Manager
writing,good,business,bba,Marketing Manager
javascript,good,technology,bsc,Full Stack Developer
chemistry,average,science,msc,Chemist
diagnosis,excellent,science,mbbs,Doctor
html,good,technology,bdes,UI/UX Designer
design,good,media,bdes,Graphic Designer
networking,good,technology,btech,DevOps Engineer
communication,excellent,business,ba,HR Manager
linux,good,technology,mca,DevOps Engineer
illustrator,average,creative,mca,Graphic Designer
linux,good,infrastructure,diploma,Network Engineer
design,good,creative,bfa,UI/UX Designer
design,average,media,bfa,Graphic Designer
sql,excellent,analytics,bba,Business Analyst
editing,good,marketing,ma,Content Writer
linux,average,creative,bfa,Graphic Designer
python,good,technology,bsc,Full Stack Developer
python,average,technology,btech,Full Stack Developer
data,good,analytics,btech,Business Analyst
sql,average,technology,mca,Backend Engineer
construction,average,engineering,mtech,Civil Engineer
python,good,technology,bsc,Backend Engineer
security,good,infrastructure,btech,DevOps Engineer
css,excellent,finance,bsc,UI/UX Designer
sql,good,technology,mca,Data Engineer
biology,excellent,science,md,Doctor
security,good,infrastructure,btech,DevOps Engineer
data,average,analytics,mtech,Data Scientist
python,good,technology,phd,Software Developer
data,good,analytics,mba,Business Analyst
hardware,average,infrastructure,bsc,Network Engineer
security,good,technology,mca,DevOps Engineer
writing,good,marketing,bba,Content Writer
medicine,average,healthcare,mbbs,Doctor
python,excellent,technology,btech,Cybersecurity Analyst
writing,excellent,news,diploma,Journalist
management,excellent,business,bca,Product Manager
strategy,excellent,business,btech,Product Manager
figma,average,creative,bdes,Graphic Designer
data,good,technology,mtech,Data Scientist
security,good,infrastructure,mca,DevOps Engineer
html,good,creative,ba,UI/UX Designer
mechanics,average,engineering,diploma,Mechanical Engineer
python,good,infrastructure,btech,DevOps Engineer
diagnosis,excellent,healthcare,mbbs,Doctor
networking,excellent,security,mtech,Cybersecurity Analyst
linux,average,infrastructure,btech,Network Engineer
strategy,excellent,business,bba,Product Manager
research,good,research,phd,Biologist
design,excellent,technology,bdes,UI/UX Designer
writing,excellent,media,ba,Content Writer
python,excellent,security,btech,Cybersecurity Analyst
excel,good,business,bba,Business Analyst
physics,average,engineering,diploma,Civil Engineer
management,excellent,business,bba,Product Manager
python,good,research,mtech,Data Scientist
networking,good,security,mtech,Cybersecurity Analyst
math,good,analytics,mtech,Machine Learning Engineer
management,excellent,business,bba,Product Manager
excel,good,business,bsc,Data Analyst
python,average,technology,mtech,Software Developer
sql,excellent,technology,btech,Data Scientist
excel,good,analytics,bba,Data Analyst
cad,good,infrastructure,mtech,Civil Engineer
linux,excellent,security,bsc,Cybersecurity Analyst
database,good,technology,btech,Data Engineer
research,good,research,phd,Chemist
data,good,analytics,bsc,Data Analyst
construction,poor,infrastructure,diploma,Civil Engineer
linux,good,technology,btech,DevOps Engineer
physics,average,technology,btech,Civil Engineer
research,average,science,phd,Biologist
illustrator,good,media,bdes,Graphic Designer
photoshop,average,creative,bfa,Graphic Designer
research,excellent,technology,bsc,UI/UX Designer
figma,excellent,creative,bsc,UI/UX Designer
design,average,media,bfa,Graphic Designer
cad,good,infrastructure,mtech,Civil Engineer
photoshop,good,creative,bdes,Graphic Designer
investigation,excellent,media,ba,Journalist
design,good,technology,ba,UI/UX Designer
sql,good,technology,mtech,Backend Engineer
python,average,technology,mca,Software Developer
lab,good,research,msc,Chemist
accounting,excellent,business,bba,Financial Analyst
networking,average,infrastructure,diploma,Network Engineer
writing,excellent,business,mba,Marketing Manager
research,average,science,msc,Chemist
management,excellent,business,mba,Business Analyst
mechanics,average,manufacturing,diploma,Mechanical Engineer
sql,good,business,bba,Business Analyst
data,excellent,analytics,btech,AI/ML Engineer
c++,good,technology,btech,Software Developer
biology,good,research,phd,Biologist
excel,poor,analytics,btech,Data Analyst
photoshop,average,creative,bfa,Graphic Designer
data,good,analytics,btech,Data Engineer
research,good,technology,mbbs,Doctor
photoshop,good,media,bdes,Graphic Designer
python,average,technology,bca,Software Developer
sql,good,business,btech,Business Analyst
sql,excellent,analytics,phd,Data Scientist
cad,good,infrastructure,mtech,Civil Engineer
excel,good,analytics,mba,Business Analyst
web,good,technology,btech,Full Stack Developer
sql,average,technology,mca,Backend Engineer
